鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
失|失う; 損失; 失格; 失礼; 失せる; 失策|`ushina`u; `son``shitsu`; `shik``kaku`; `shitsu``rei`; `u`seru; `shis``saku`|to lose; loss (e.g. assets or profits); disqualification, elimination, being unfit (for); impolite, rude, discourteous; to go away; blunder, slip, error|ushina:失う;shitsu:損失,失礼;shixtsu:失格,失策;u:失せる
損|損; 損なう; 損ねる; 損害; 損失; 破損; 損得; 毀損|son; `soko`nau; `soko`neru; `son``gai`; `son``shitsu`; `ha``son`; `son``toku`; `ki``son`|loss, disadvantage; to fail in doing, to harm, to injure; to fail to do, to harm, to hurt, to injure; damage, injury; loss (e.g. assets or profits); damage; loss and gain, advantage and disadvantage; suru: to damage, to injure|son:損,損害,損失,破損,損得,毀損;soko:損なう,損ねる
毀|毀損; 毀傷|`ki``son`; `ki``shou`|suru: to damage, to injure; injury, damage|ki:毀損,毀傷
降|降りる; 降る; 下降; 降伏; 降雨; 降水; 昇降; 降雨量; 以降|`o`riru; `fu`ru; `ka``kou`; `kou``fuku`; `kou``u`; `kou``sui`; `shou``kou`; `kou``u``ryou`; `i``kou`|to descend, to get off; to rain; descend (opposite of 上昇); surrender; rainfall; precipitation; ascending and decending; amount of rainfall; ever since...|o:降りる;fu:降る;kou:下降,降伏,降雨,降水,昇降,降雨量,以降
量|量る; 大量; 重量; 質量; 数量; 降雨量; 推量; 斤量; 酌量|`haka`ru; `tai``ryou`; `juu``ryou`; `shitsu``ryou`; `suu``ryou`; `kou``u``ryou`; `sui``ryou`; `kin``ryou`; `shaku``ryou`|to measure (e.g. weight); large quantity; weight, heavyweight; mass (physics); quantity, volume; amount of rainfall; guess, conjecture; (measured) weight; taking into consideration, making compromises|haka:量る;ryou:大量,重量,質量,数量,降雨量,推量,斤量,酌量
棒|棒; 金棒; 泥棒|bou; `kana``bou`; `doro``bou`|pole, stick; iron club, metal rod; thief|bou:棒,金棒,泥棒
逮|逮捕; 逮捕状|`tai``ho`; `tai``ho``jou`|suru: to arrest; arrest warrant|tai:逮捕,逮捕状
氷|氷; 氷結; 氷山|koori; `hyou``ketsu`; `hyou``zan`|ice; freezing over; iceberg|koori:氷;hyou:氷結,氷山
有|有る; 有名; 有効; 有利; 有無; 有罪; 有志; 有袋類; 有望; 有限; 有する|`a`ru; `yuu``mei`; `yuu``kou`; `yuu``ri`; `u``mu`; `yuu``zai`; `yuu``shi`; `yuu``tai``rui`; `yuu``bou`; `yuu``gen`; `yuu`suru|to possess; famous; effective, valid; advantageous; existence or nonexistence, presence or absence; guilty; volunteer, sympathizer, supporter; pouched animal, marsupial; promising, full of promise; finite, limited; to have, possess, be endowed with|a:有る;yuu:有名,有効,有利,有罪,有志,有袋類,有望,有限,有する;u:有無
易|易しい; 易い; 容易; 容易い; 安易; 交易; 貿易; 貿易摩擦; 易者|`yasa`shii; `yasu`i; `you``i`; `ta``yasu`i; `an``i`; `kou``eki`; `bou``eki`; `bou``eki``ma``satsu`; `eki``sha`|easy, plain, simple (opposite of muzukashii); easy (to do); easy, simple, plain; easy, simple; easy, simple; trade, commerce; trade (foreign), international commerce; trade friction; fortune teller|yasa:易しい;yasu:易い,容易い;i:容易,安易;eki:交易,貿易,貿易摩擦,易者
